HUZ	Year	Location	Test	Soil Type	Variety Name	Lodging	DTM	Yield	Height	SeedWt	Protein	Oil
2600	1996	Ottawa	Public	Loam	AC Brant	3	124	3594	96	23.5	44.3	19.8
2600	1996	Ottawa	Public	Loam	AC Bravor	3.2	126	4139	92	21.4	45	19.6
2600	1996	Ottawa	Public	Loam	AC Harmony	1.2	110	3819	82	17.7	41.2	21.9
2600	1996	Ottawa	Public	Loam	AC Hercule	2.5	119	3394	87	20.1	50.8	17.1
2600	1996	Ottawa	Public	Loam	AC Proteina	1.7	118	3788	89	19	50.9	16.2
2600	1996	Ottawa	Public	Loam	AC Proteus	2.1	118	3359	85	19.8	53.3	14.4
2600	1996	Ottawa	Public	Loam	AC 2001	3.2	124	4027	99	20.3	43.4	20.2
2600	1996	Ottawa	Public	Loam	PS 44	3.8	126	3792	105	23	44.3	20
2600	1996	Ottawa	Public	Loam	Albinos	2.5	117	3791	90	22.2	44.8	20.2
2600	1996	Ottawa	Public	Loam	Alta	2.3	108	3460	82	24.3	42	20.6
2600	1996	Ottawa	Public	Loam	Altesse	2.9	115	4046	96	20.2	45.1	20
2600	1996	Ottawa	Public	Loam	Aquilon	3.8	114	3302	97	23.1	45.2	20
2600	1996	Ottawa	Public	Loam	Autan	3.6	104	2870	90	21.5	44.9	19.5
2600	1996	Ottawa	Public	Loam	Beck	2.9	126	3630	100	22.5	43	19.9
2600	1996	Ottawa	Public	Loam	B0601	2.2	125	3957	87	21.3	43.9	19.5
2600	1996	Ottawa	Public	Loam	Cabot	2.6	121	3817	85	19.5	41.8	21.3
2600	1996	Ottawa	Public	Loam	Corona	3	112	3307	83	19.1	44.4	19.6
2600	1996	Ottawa	Public	Loam	CX066	2.9	126	4016	93	21.9	45.9	18.8
2600	1996	Ottawa	Public	Loam	DB1979	2.4	122	4032	89	23.3	45.8	19.1
2600	1996	Ottawa	Public	Loam	Enterprise	2	126	3812	88	20.2	44.1	19.1
2600	1996	Ottawa	Public	Loam	Fiston	2.4	111	3188	91	16.4	43.4	20.6
2600	1996	Ottawa	Public	Loam	Gentleman	3.8	109	3177	84	21.7	45.7	20.1
2600	1996	Ottawa	Public	Loam	Grand	2.9	126	3739	80	29	46.2	19.4
2600	1996	Ottawa	Public	Loam	HS 2578	3.3	118	3812	96	22.8	44.6	20.2
2600	1996	Ottawa	Public	Loam	HS 2688	2	118	3382	75	22.8	45.1	18.8
2600	1996	Ottawa	Public	Loam	HS 2689	2.7	120	3963	92	21.6	41.7	21.2
2600	1996	Ottawa	Public	Loam	HS 2778	1.8	125	4250	76	21.2	45.4	18.4
2600	1996	Ottawa	Public	Loam	KG41	1.6	124	4441	89	21.6	45.1	20.2
2600	1996	Ottawa	Public	Loam	Klaxon	2.9	107	3300	76	19	44.8	19.9
2600	1996	Ottawa	Public	Loam	Korada	1.4	123	4244	79	21.2	45	18.9
2600	1996	Ottawa	Public	Loam	Maitland	3.8	124	3700	93	21.9	43.2	20.3
2600	1996	Ottawa	Public	Loam	Maple Glen	2.3	123	4132	85	24.2	46.8	19.7
2600	1996	Ottawa	Public	Loam	Medallion	2.5	112	2979	75	20.4	44.5	20.2
2600	1996	Ottawa	Public	Loam	OAC Arthur	2.9	127	3679	82	22.2	45.1	18
2600	1996	Ottawa	Public	Loam	OAC Atwood	2.5	126	3444	83	20.5	45.2	19.4
2600	1996	Ottawa	Public	Loam	OAC Auburn	2.8	127	3575	97	21.5	43.6	19.7
2600	1996	Ottawa	Public	Loam	OAC Bayfield	3.1	127	3704	88	24	44.6	20
2600	1996	Ottawa	Public	Loam	OAC Brussels	2	125	4075	78	22.8	43.9	19.5
2600	1996	Ottawa	Public	Loam	OAC Eclipse	2.4	126	4356	89	21.6	43.1	21
2600	1996	Ottawa	Public	Loam	OAC Erin	3.1	116	3957	88	17.6	43.5	19.6
2600	1996	Ottawa	Public	Loam	OAC Klondike	2.6	108	3199	69	21.6	44.1	19.3
2600	1996	Ottawa	Public	Loam	OAC Lucknow	2.4	127	4410	102	23.3	45	18.8
2600	1996	Ottawa	Public	Loam	OAC Millennium	1.2	124	4325	82	19	42.8	20.7
2600	1996	Ottawa	Public	Loam	OAC Salem	2	116	3607	88	22.7	45.1	19.3
2600	1996	Ottawa	Public	Loam	OAC Walton	3.1	116	3395	88	22.2	44	19.9
2600	1996	Ottawa	Public	Loam	OAC Wingham	2.2	125	4070	85	19.7	43.8	20.3
2600	1996	Ottawa	Public	Loam	PS32	2.1	109	3426	85	18.7	41.5	21.6
2600	1996	Ottawa	Public	Loam	PS33	1.7	117	3603	75	18.4	40.1	22.4
